userName,score,content
A Google user,5,nice
A Google user,3,it's really helpful application. We can enhance our skills in very smooth way.
A Google user,4,Ok
A Google user,4,"So far, I'm captivated. Seems like a great place to begin learning. I need to do it longer before my final judgment."
A Google user,5,I even just did not know anything about html coding etc.. . But after using mimo I have learnt also so much about coding and coding. Thank you Mimo
A Google user,5,it's the best ai app for the greatest learning thanks
A Google user,5,My experience with it has been very good and I am enjoying it.
A Google user,4,"Am so happy I found these app, it helped me so well and so fast😇😊 Thank you very much 🙏😊"
A Google user,4,"Its great but i hope It just Doesnt need payment for the Time Usage , just like duolingo it just Needs to have in app purchases to its other offers not the total.usage itself"
A Google user,5,Great learning app
A Google user,4,"It's good for me so far, I enjoy it."
A Google user,5,good app for coding
A Google user,5,"good job making an app to learn coding. the UI is simple, I can directly go to the language I want to learn, in my case JavaScript. overal nice app. keep up the good work"
A Google user,5,Very good
A Google user,5,Is very helpful to learn python for me. Highly recommended.
A Google user,5,"amazing app really helpful if you want to learn to code, try the app I am sure you will enjoy it just as I am doing"
A Google user,5,it is a brilliant platform to learn as a beginner
A Google user,5,This is fantastic am enjoying coding Mimo is the best
A Google user,5,"Very Helpful for Beginners, especially for kids to get familiarised with the whole coding world. A kid can simply become one good python coding expert at a very young age with the help of this application. Love it"
A Google user,5,It would be good if the unlimited hearts wasn't a pro feature
A Google user,5,"it's good , learning programming is too easy like learning language in doulingo"
A Google user,5,Amazing
A Google user,5,I appreciate the who created this app definitely different from another app i learn alot of things 10qu
A Google user,5,it is best app for learning coding
A Google user,5,You excellent
A Google user,5,"Completely Impressive App, Nice Experience, I have a suggestion that pleased add some more projects of games, apps, software and add c sharp as well, So this app become full pkg of Professional programming,"
A Google user,5,"I love mimo, though i made mistakes in my answers it lets me try again to make it right.Super user friendly for zero knowledge of coding.Love this app.Highly recommend to try it."
A Google user,5,Fun to use!
A Google user,5,not bad
A Google user,5,This is a great app to learn how to code
A Google user,5,Good and fully interactive way to learn something useful.
A Google user,5,You need to try this for coding it's awesome. Comprehendible and flexibility...
A Google user,5,this is the best HTML self tutorial app I've come across on the internet. best app ever
A Google user,5,Nice app for learning web development
A Google user,5,Mimo is the Game Changer..! Such a nice app ❤️‍🔥
A Google user,5,I love how it's simple which makes it x5 easier to understand.
A Google user,4,A good app for beginners.I have learned html Style css and java but the thing which is mising more test and practical exercises for learners .And please it gives some glitch in making account please let it fix.Some times it not give information about ol and li tags.plese solve it in latest updates.pleeeeseeeeeeeeeeeeeeee
A Google user,5,Absolutely amazing!😍 I finally understand Python and coding.
A Google user,5,So good
A Google user,5,good
A Google user,4,it's is similar like Duolingo it instruct the coding language step by step it is really helpful and knowledge for us I agree if u can download this you definitely gain a new chapter of knowledge...................🥰
A Google user,5,very effective and easy to use app.
A Google user,5,I like this aap. I can understand this very easily because of this app. You should also try this app if you are beginner or want a job.
A Google user,5,"I loved app, because this app is best for beginners it explains each and everything in detail."
A Google user,4,Superbe application pour avoir une base sur la programmation mais le livre sur les différents langages de programmation a un contenu peu consistant par rapport au lesson donnée .
A Google user,5,Who needs school for this?
A Google user,5,good
A Google user,5,amazing great application for learning coding
A Google user,5,it's perfect in every way 🤩💞 . Kudos to Mimo
A Google user,5,that's agreet app
A Google user,5,Super app its useful
A Google user,4,good
A Google user,5,"Hi Supernintendo Chalmers, I'm learnding"
