userName,score,content,cleaned_text,sentiment,sentiment_encoded,tokenized
A Google user,5,nice,nice,Positive,1,[12]
A Google user,3,it's really helpful application. We can enhance our skills in very smooth way.,really helpful application enhance skills smooth way,Positive,1,"[11, 24, 35, 957, 104, 471, 16]"
A Google user,4,Ok,ok,Positive,1,[274]
A Google user,4,"So far, I'm captivated. Seems like a great place to begin learning. I need to do it longer before my final judgment.",far captivated seems like great place begin learning need longer final judgment,Positive,1,"[21, 1746, 147, 9, 6, 261, 522, 5, 59, 1210, 1211, 1747]"
A Google user,5,I even just did not know anything about html coding etc.. . But after using mimo I have learnt also so much about coding and coding. Thank you Mimo,even know anything html coding etc using mimo learnt also much coding coding thank mimo,Positive,1,"[33, 39, 198, 40, 3, 313, 50, 10, 208, 32, 26, 3, 3, 60, 10]"
A Google user,5,it's the best ai app for the greatest learning thanks,best ai app greatest learning thanks,Positive,1,"[8, 247, 1, 793, 5, 77]"
A Google user,5,My experience with it has been very good and I am enjoying it.,experience good enjoying,Positive,1,"[43, 2, 136]"
A Google user,4,"Am so happy I found these app, it helped me so well and so fast😇😊 Thank you very much 🙏😊",happy found app helped well fast thank much,Positive,1,"[209, 221, 1, 222, 61, 148, 60, 26]"
A Google user,4,"Its great but i hope It just Doesnt need payment for the Time Usage , just like duolingo it just Needs to have in app purchases to its other offers not the total.usage itself",great hope doesnt need payment time usage like duolingo needs app purchases offers total usage,Positive,1,"[6, 119, 1212, 59, 275, 36, 958, 9, 29, 289, 1, 1748, 395, 794, 958]"
A Google user,5,Great learning app,great learning app,Positive,1,"[6, 5, 1]"
A Google user,4,"It's good for me so far, I enjoy it.",good far enjoy,Positive,1,"[2, 21, 234]"
A Google user,5,good app for coding,good app coding,Positive,1,"[2, 1, 3]"
A Google user,5,"good job making an app to learn coding. the UI is simple, I can directly go to the language I want to learn, in my case JavaScript. overal nice app. keep up the good work",good job making app learn coding ui simple directly go language want learn case javascript overal nice app keep good work,Positive,1,"[2, 223, 124, 1, 4, 3, 262, 30, 1213, 139, 44, 28, 4, 795, 235, 1749, 12, 1, 143, 2, 88]"
A Google user,5,Very good,good,Positive,1,[2]
A Google user,5,Is very helpful to learn python for me. Highly recommended.,helpful learn python highly recommended,Positive,1,"[24, 4, 31, 120, 199]"
A Google user,5,"amazing app really helpful if you want to learn to code, try the app I am sure you will enjoy it just as I am doing",amazing app really helpful want learn code try app sure enjoy,Positive,1,"[22, 1, 11, 24, 28, 4, 14, 58, 1, 355, 234]"
A Google user,5,it is a brilliant platform to learn as a beginner,brilliant platform learn beginner,Positive,1,"[332, 114, 4, 48]"
A Google user,5,This is fantastic am enjoying coding Mimo is the best,fantastic enjoying coding mimo best,Positive,1,"[170, 136, 3, 10, 8]"
A Google user,5,"Very Helpful for Beginners, especially for kids to get familiarised with the whole coding world. A kid can simply become one good python coding expert at a very young age with the help of this application. Love it",helpful beginners especially kids get familiarised whole coding world kid simply become one good python coding expert young age help application love,Positive,1,"[24, 17, 248, 431, 27, 1750, 396, 3, 193, 683, 333, 224, 25, 2, 31, 3, 959, 960, 796, 65, 35, 15]"
A Google user,5,It would be good if the unlimited hearts wasn't a pro feature,would good unlimited hearts pro feature,Positive,1,"[34, 2, 684, 133, 56, 334]"
A Google user,5,"it's good , learning programming is too easy like learning language in doulingo",good learning programming easy like learning language doulingo,Positive,1,"[2, 5, 23, 7, 9, 5, 44, 685]"
A Google user,5,Amazing,amazing,Positive,1,[22]
A Google user,5,I appreciate the who created this app definitely different from another app i learn alot of things 10qu,appreciate created app definitely different another app learn alot things 10qu,Positive,1,"[335, 961, 1, 108, 210, 200, 1, 4, 177, 93, 1751]"
A Google user,5,it is best app for learning coding,best app learning coding,Positive,1,"[8, 1, 5, 3]"
A Google user,5,You excellent,excellent,Positive,1,[66]
A Google user,5,"Completely Impressive App, Nice Experience, I have a suggestion that pleased add some more projects of games, apps, software and add c sharp as well, So this app become full pkg of Professional programming,",completely impressive app nice experience suggestion pleased add projects games apps software add c sharp well app become full pkg professional programming,Positive,1,"[356, 589, 1, 12, 43, 1752, 1753, 54, 290, 263, 91, 249, 54, 85, 1214, 61, 1, 224, 110, 1754, 314, 23]"
A Google user,5,"I love mimo, though i made mistakes in my answers it lets me try again to make it right.Super user friendly for zero knowledge of coding.Love this app.Highly recommend to try it.",love mimo though made mistakes answers lets try make right super user friendly zero knowledge coding love app highly recommend try,Positive,1,"[15, 10, 184, 82, 523, 432, 686, 58, 46, 171, 73, 62, 55, 336, 99, 3, 15, 1, 120, 37, 58]"
A Google user,5,Fun to use!,fun use,Positive,1,"[13, 18]"
A Google user,5,not bad,bad,Negative,-1,[121]
A Google user,5,This is a great app to learn how to code,great app learn code,Positive,1,"[6, 1, 4, 14]"
A Google user,5,Good and fully interactive way to learn something useful.,good fully interactive way learn something useful,Positive,1,"[2, 524, 94, 16, 4, 109, 47]"
A Google user,5,You need to try this for coding it's awesome. Comprehendible and flexibility...,need try coding awesome comprehendible flexibility,Positive,1,"[59, 58, 3, 41, 1755, 1756]"
A Google user,5,this is the best HTML self tutorial app I've come across on the internet. best app ever,best html self tutorial app come across internet best app ever,Positive,1,"[8, 40, 433, 472, 1, 264, 590, 687, 8, 1, 78]"
A Google user,5,Nice app for learning web development,nice app learning web development,Positive,1,"[12, 1, 5, 79, 165]"
A Google user,5,Mimo is the Game Changer..! Such a nice app ❤️‍🔥,mimo game changer nice app,Positive,1,"[10, 68, 1215, 12, 1]"
A Google user,5,I love how it's simple which makes it x5 easier to understand.,love simple makes x5 easier understand,Positive,1,"[15, 30, 38, 1757, 172, 20]"
A Google user,4,A good app for beginners.I have learned html Style css and java but the thing which is mising more test and practical exercises for learners .And please it gives some glitch in making account please let it fix.Some times it not give information about ol and li tags.plese solve it in latest updates.pleeeeseeeeeeeeeeeeeeee,good app beginners learned html style css java thing mising test practical exercises learners please gives glitch making account please let fix times give information ol li tags plese solve latest updates pleeeeseeeeeeeeeeeeeeee,Positive,1,"[2, 1, 17, 100, 40, 397, 236, 161, 102, 1758, 291, 357, 265, 276, 45, 140, 591, 124, 141, 45, 194, 237, 525, 83, 337, 1216, 1759, 592, 1760, 688, 1761, 689, 1762]"
A Google user,5,Absolutely amazing!😍 I finally understand Python and coding.,absolutely amazing finally understand python coding,Positive,1,"[250, 22, 690, 20, 31, 3]"
A Google user,5,So good,good,Positive,1,[2]
A Google user,5,good,good,Positive,1,[2]
A Google user,4,it's is similar like Duolingo it instruct the coding language step by step it is really helpful and knowledge for us I agree if u can download this you definitely gain a new chapter of knowledge...................🥰,similar like duolingo instruct coding language step step really helpful knowledge us agree u download definitely gain new chapter knowledge,Positive,1,"[251, 9, 29, 1763, 3, 44, 74, 74, 11, 24, 99, 154, 1764, 95, 211, 108, 526, 69, 398, 99]"
A Google user,5,very effective and easy to use app.,effective easy use app,Positive,1,"[252, 7, 18, 1]"
A Google user,5,I like this aap. I can understand this very easily because of this app. You should also try this app if you are beginner or want a job.,like aap understand easily app also try app beginner want job,Positive,1,"[9, 527, 20, 125, 1, 32, 58, 1, 48, 28, 223]"
A Google user,5,"I loved app, because this app is best for beginners it explains each and everything in detail.",loved app app best beginners explains everything detail,Positive,1,"[399, 1, 1, 8, 17, 473, 142, 691]"
